Id,TimeZone,UTC
62,America/Argentina/ComodRivadavia,−03:00
63,America/Argentina/Cordoba,areas:
64,America/Argentina/Jujuy,−03:00
65,America/Argentina/La_Rioja,−03:00
66,America/Argentina/Mendoza,−03:00
67,America/Argentina/Rio_Gallegos,−03:00
68,America/Argentina/Salta,−03:00
69,America/Argentina/San_Juan,−03:00
70,America/Argentina/San_Luis,−03:00
71,America/Argentina/Tucuman,−03:00
72,America/Argentina/Ushuaia,−03:00
73,America/Aruba,−04:00
74,America/Asuncion,−04:00
75,America/Atikokan,−05:00
76,America/Atka,−10:00
77,America/Bahia,−03:00
78,America/Bahia_Banderas,−06:00
79,America/Barbados,−04:00
80,America/Belem,−03:00
81,America/Belize,−06:00
82,America/Blanc-Sablon,−04:00
83,America/Boa_Vista,−04:00
84,America/Bogota,−05:00
85,America/Boise,−07:00
86,America/Buenos_Aires,−03:00
87,America/Cambridge_Bay,−07:00
88,America/Campo_Grande,−04:00
89,America/Cancun,−05:00
90,America/Caracas,−04:00
91,America/Catamarca,−03:00
92,America/Cayenne,−03:00
93,America/Cayman,−05:00
94,America/Chicago,−06:00
95,America/Chihuahua,−06:00
96,America/Ciudad_Juarez,−07:00
97,America/Coral_Harbour,−05:00
98,America/Cordoba,−03:00
99,America/Costa_Rica,−06:00
100,America/Creston,−07:00
101,America/Cuiaba,−04:00
102,America/Curacao,−04:00
103,America/Danmarkshavn,+00:00
104,America/Dawson,−07:00
105,America/Dawson_Creek,−07:00
106,America/Denver,−07:00
107,America/Detroit,−05:00
108,America/Dominica,−04:00
109,America/Edmonton,−07:00
110,America/Eirunepe,−05:00
111,America/El_Salvador,−06:00
112,America/Ensenada,−08:00
113,America/Fort_Nelson,−07:00
114,America/Fort_Wayne,−05:00
115,America/Fortaleza,(northeast:
116,America/Glace_Bay,−04:00
117,America/Godthab,−02:00
118,America/Goose_Bay,−04:00
119,America/Grand_Turk,−05:00
120,America/Grenada,−04:00
121,America/Guadeloupe,−04:00
122,America/Guatemala,−06:00
123,America/Guayaquil,−05:00
124,America/Guyana,−04:00
125,America/Halifax,−04:00
126,America/Havana,−05:00
127,America/Hermosillo,−07:00
128,America/Indiana/Indianapolis,−05:00
129,America/Indiana/Knox,−06:00
130,America/Indiana/Marengo,−05:00
131,America/Indiana/Petersburg,−05:00
132,America/Indiana/Tell_City,−06:00
133,America/Indiana/Vevay,−05:00
134,America/Indiana/Vincennes,−05:00
135,America/Indiana/Winamac,−05:00
136,America/Indianapolis,−05:00
137,America/Inuvik,−07:00
138,America/Iqaluit,−05:00
139,America/Jamaica,−05:00
140,America/Jujuy,−03:00
141,America/Juneau,−09:00
142,America/Kentucky/Louisville,−05:00
143,America/Kentucky/Monticello,−05:00
144,America/Knox_IN,−06:00
145,America/Kralendijk,−04:00
146,America/La_Paz,−04:00
147,America/Lima,−05:00
148,America/Los_Angeles,−08:00
149,America/Louisville,−05:00
150,America/Lower_Princes,−04:00
151,America/Maceio,−03:00
152,America/Managua,−06:00
153,America/Manaus,−04:00
154,America/Marigot,−04:00
155,America/Martinique,−04:00
156,America/Matamoros,−06:00
157,America/Mazatlan,−07:00
158,America/Mendoza,−03:00
159,America/Menominee,−06:00
160,America/Merida,−06:00
161,America/Metlakatla,−09:00
162,America/Mexico_City,−06:00
163,America/Miquelon,−03:00
164,America/Moncton,−04:00
165,America/Monterrey,−06:00
166,America/Montevideo,−03:00
167,America/Montreal,−05:00
168,America/Montserrat,−04:00
169,America/Nassau,−05:00
170,America/New_York,−05:00
171,America/Nipigon,−05:00
172,America/Nome,−09:00
173,America/Noronha,−02:00
174,America/North_Dakota/Beulah,−06:00
175,America/North_Dakota/Center,−06:00
176,America/North_Dakota/New_Salem,−06:00
177,America/Nuuk,−02:00
178,America/Ojinaga,−06:00
179,America/Panama,−05:00
180,America/Pangnirtung,−05:00
181,America/Paramaribo,−03:00
182,America/Phoenix,−07:00
183,America/Port-au-Prince,−05:00
184,America/Port_of_Spain,−04:00
185,America/Porto_Acre,−05:00
186,America/Porto_Velho,−04:00
187,America/Puerto_Rico,−04:00
188,America/Punta_Arenas,−03:00
189,America/Rainy_River,−06:00
190,America/Rankin_Inlet,−06:00
191,America/Recife,−03:00
192,America/Regina,−06:00
193,America/Resolute,−06:00
194,America/Rio_Branco,−05:00
195,America/Rosario,−03:00
196,America/Santa_Isabel,−08:00
197,America/Santarem,−03:00
198,America/Santiago,−04:00
199,America/Santo_Domingo,−04:00
200,America/Sao_Paulo,(southeast:
201,America/Scoresbysund,−01:00
202,America/Shiprock,−07:00
203,America/Sitka,−09:00
204,America/St_Barthelemy,−04:00
205,America/St_Johns,−03:30
206,America/St_Kitts,−04:00
207,America/St_Lucia,−04:00
208,America/St_Thomas,−04:00
209,America/St_Vincent,−04:00
210,America/Swift_Current,−06:00
211,America/Tegucigalpa,−06:00
212,America/Thule,−04:00
213,America/Thunder_Bay,−05:00
214,America/Tijuana,−08:00
215,America/Toronto,−05:00
216,America/Tortola,−04:00
217,America/Vancouver,−08:00
218,America/Virgin,−04:00
219,America/Whitehorse,−07:00
220,America/Winnipeg,−06:00
221,America/Yakutat,−09:00
222,America/Yellowknife,−07:00
223,Antarctica/Casey,+11:00
224,Antarctica/Davis,+07:00
225,Antarctica/DumontDUrville,+10:00
226,Antarctica/Macquarie,+10:00
227,Antarctica/Mawson,+05:00
228,Antarctica/McMurdo,+12:00
229,Antarctica/Palmer,−03:00
230,Antarctica/Rothera,−03:00
231,Antarctica/South_Pole,+12:00
232,Antarctica/Syowa,+03:00
233,Antarctica/Troll,+00:00
234,Antarctica/Vostok,+06:00
235,Arctic/Longyearbyen,+01:00
236,Asia/Aden,+03:00
237,Asia/Almaty,+06:00
238,Asia/Amman,+03:00
239,Asia/Anadyr,+12:00
240,Asia/Aqtau,+05:00
241,Asia/Aqtobe,+05:00
242,Asia/Ashgabat,+05:00
243,Asia/Ashkhabad,+05:00
244,Asia/Atyrau,+05:00
245,Asia/Baghdad,+03:00
246,Asia/Bahrain,+03:00
247,Asia/Baku,+04:00
248,Asia/Bangkok,+07:00
249,Asia/Barnaul,+07:00
250,Asia/Beirut,+02:00
251,Asia/Bishkek,+06:00
252,Asia/Brunei,+08:00
253,Asia/Calcutta,+05:30
254,Asia/Chita,+09:00
255,Asia/Choibalsan,+08:00
256,Asia/Chongqing,+08:00
257,Asia/Chungking,+08:00
258,Asia/Colombo,+05:30
259,Asia/Dacca,+06:00
260,Asia/Damascus,+03:00
261,Asia/Dhaka,+06:00
262,Asia/Dili,+09:00
263,Asia/Dubai,+04:00
264,Asia/Dushanbe,+05:00
265,Asia/Famagusta,+02:00
266,Asia/Gaza,+02:00
267,Asia/Harbin,+08:00
268,Asia/Hebron,+02:00
269,Asia/Ho_Chi_Minh,+07:00
270,Asia/Hong_Kong,+08:00
271,Asia/Hovd,+07:00
272,Asia/Irkutsk,+08:00
273,Asia/Istanbul,+03:00
274,Asia/Jakarta,+07:00
275,Asia/Jayapura,+09:00
276,Asia/Jerusalem,+02:00
277,Asia/Kabul,+04:30
278,Asia/Kamchatka,+12:00
279,Asia/Karachi,+05:00
280,Asia/Kashgar,+06:00
281,Asia/Kathmandu,+05:45
282,Asia/Katmandu,+05:45
283,Asia/Khandyga,+09:00
284,Asia/Kolkata,+05:30
285,Asia/Krasnoyarsk,+07:00
286,Asia/Kuala_Lumpur,+08:00
287,Asia/Kuching,+08:00
288,Asia/Kuwait,+03:00
289,Asia/Macao,+08:00
290,Asia/Macau,+08:00
291,Asia/Magadan,+11:00
292,Asia/Makassar,+08:00
293,Asia/Manila,+08:00
294,Asia/Muscat,+04:00
295,Asia/Nicosia,+02:00
296,Asia/Novokuznetsk,+07:00
297,Asia/Novosibirsk,+07:00
298,Asia/Omsk,+06:00
299,Asia/Oral,+05:00
300,Asia/Phnom_Penh,+07:00
301,Asia/Pontianak,+07:00
302,Asia/Pyongyang,+09:00
303,Asia/Qatar,+03:00
304,Asia/Qostanay,+06:00
305,Asia/Qyzylorda,+05:00
306,Asia/Rangoon,+06:30
307,Asia/Riyadh,+03:00
308,Asia/Saigon,+07:00
309,Asia/Sakhalin,+11:00
310,Asia/Samarkand,+05:00
311,Asia/Seoul,+09:00
312,Asia/Shanghai,+08:00
313,Asia/Singapore,+08:00
314,Asia/Srednekolymsk,+11:00
315,Asia/Taipei,+08:00
316,Asia/Tashkent,+05:00
317,Asia/Tbilisi,+04:00
318,Asia/Tehran,+03:30
319,Asia/Tel_Aviv,+02:00
320,Asia/Thimbu,+06:00
321,Asia/Thimphu,+06:00
322,Asia/Tokyo,+09:00
323,Asia/Tomsk,+07:00
324,Asia/Ujung_Pandang,+08:00
325,Asia/Ulaanbaatar,+08:00
326,Asia/Ulan_Bator,+08:00
327,Asia/Urumqi,+06:00
328,Asia/Ust-Nera,+10:00
329,Asia/Vientiane,+07:00
330,Asia/Vladivostok,+10:00
331,Asia/Yakutsk,+09:00
332,Asia/Yangon,+06:30
333,Asia/Yekaterinburg,+05:00
334,Asia/Yerevan,+04:00
335,Atlantic/Azores,−01:00
336,Atlantic/Bermuda,−04:00
337,Atlantic/Canary,+00:00
338,Atlantic/Cape_Verde,−01:00
339,Atlantic/Faeroe,+00:00
340,Atlantic/Faroe,+00:00
341,Atlantic/Jan_Mayen,+01:00
342,Atlantic/Madeira,+00:00
343,Atlantic/Reykjavik,+00:00
344,Atlantic/South_Georgia,−02:00
345,Atlantic/St_Helena,+00:00
346,Atlantic/Stanley,−03:00
347,Australia/ACT,+10:00
348,Australia/Adelaide,+09:30
349,Australia/Brisbane,+10:00
350,Australia/Broken_Hill,+09:30
351,Australia/Canberra,+10:00
352,Australia/Currie,+10:00
353,Australia/Darwin,+09:30
354,Australia/Eucla,+08:45
355,Australia/Hobart,+10:00
356,Australia/LHI,+10:30
357,Australia/Lindeman,+10:00
358,Australia/Lord_Howe,+10:30
359,Australia/Melbourne,+10:00
360,Australia/North,+09:30
361,Australia/NSW,+10:00
362,Australia/Perth,+08:00
363,Australia/Queensland,+10:00
364,Australia/South,+09:30
365,Australia/Sydney,+10:00
366,Australia/Tasmania,+10:00
367,Australia/Victoria,+10:00
368,Australia/West,+08:00
369,Australia/Yancowinna,+09:30
370,Brazil/Acre,−05:00
371,Brazil/DeNoronha,−02:00
372,Brazil/East,−03:00
373,Brazil/West,−04:00
374,Canada/Atlantic,−04:00
375,Canada/Central,−06:00
376,Canada/Eastern,−05:00
377,Canada/Mountain,−07:00
378,Canada/Newfoundland,−03:30
379,Canada/Pacific,−08:00
380,Canada/Saskatchewan,−06:00
381,Canada/Yukon,−07:00
382,Europe/Paris.,+01:00
383,Chile/Continental,−04:00
384,Chile/EasterIsland,−06:00
385,America/Chicago.,−06:00
386,America/Havana,−05:00
387,Europe/Sofia.,+02:00
388,Africa/Cairo,+02:00
389,Europe/Dublin,+01:00
390,America/Cancun.,−05:00
391,America/New_York.,−05:00
392,Etc/GMT,+00:00
393,Etc/GMT+0,+00:00
394,Etc/GMT+1,−01:00
395,Etc/GMT+10,−10:00
396,Etc/GMT+11,−11:00
397,Etc/GMT+12,−12:00
398,Etc/GMT+2,−02:00
399,Etc/GMT+3,−03:00
400,Etc/GMT+4,−04:00
401,Etc/GMT+5,−05:00
402,Etc/GMT+6,−06:00
403,Etc/GMT+7,−07:00
404,Etc/GMT+8,−08:00
405,Etc/GMT+9,−09:00
406,Etc/GMT-0,+00:00
407,Etc/GMT-1,+01:00
408,Etc/GMT-10,+10:00
409,Etc/GMT-11,+11:00
410,Etc/GMT-12,+12:00
411,Etc/GMT-13,+13:00
412,Etc/GMT-14,+14:00
413,Etc/GMT-2,+02:00
414,Etc/GMT-3,+03:00
415,Etc/GMT-4,+04:00
416,Etc/GMT-5,+05:00
417,Etc/GMT-6,+06:00
418,Etc/GMT-7,+07:00
419,Etc/GMT-8,+08:00
420,Etc/GMT-9,+09:00
421,Etc/GMT0,+00:00
422,Etc/Greenwich,+00:00
423,Etc/UCT,+00:00
424,Etc/Universal,+00:00
425,Etc/UTC,+00:00
426,Etc/Zulu,+00:00
427,Europe/Amsterdam,+01:00
428,Europe/Andorra,+01:00
429,Europe/Astrakhan,+04:00
430,Europe/Athens,+02:00
431,Europe/Belfast,+00:00
432,Europe/Belgrade,+01:00
433,Europe/Berlin,+01:00
434,Europe/Bratislava,+01:00
435,Europe/Brussels,+01:00
436,Europe/Bucharest,+02:00
437,Europe/Budapest,+01:00
438,Europe/Busingen,+01:00
439,Europe/Chisinau,+02:00
440,Europe/Copenhagen,+01:00
441,Europe/Dublin,+01:00
442,Europe/Gibraltar,+01:00
443,Europe/Guernsey,+00:00
444,Europe/Helsinki,+02:00
445,Europe/Isle_of_Man,+00:00
446,Europe/Istanbul,+03:00
447,Europe/Jersey,+00:00
448,Europe/Kaliningrad,+02:00
449,Europe/Kiev,+02:00
450,Europe/Kirov,+03:00
451,Europe/Kyiv,+02:00
452,Europe/Lisbon,+00:00
453,Europe/Ljubljana,+01:00
454,Europe/London,+00:00
455,Europe/Luxembourg,+01:00
456,Europe/Madrid,+01:00
457,Europe/Malta,+01:00
458,Europe/Mariehamn,+02:00
459,Europe/Minsk,+03:00
460,Europe/Monaco,+01:00
461,Europe/Moscow,+03:00
462,Europe/Nicosia,+02:00
463,Europe/Oslo,+01:00
464,Europe/Paris,+01:00
465,Europe/Podgorica,+01:00
466,Europe/Prague,+01:00
467,Europe/Riga,+02:00
468,Europe/Rome,+01:00
469,Europe/Samara,+04:00
470,Europe/San_Marino,+01:00
471,Europe/Sarajevo,+01:00
472,Europe/Saratov,+04:00
473,Europe/Simferopol,+03:00
474,Europe/Skopje,+01:00
475,Europe/Sofia,+02:00
476,Europe/Stockholm,+01:00
477,Europe/Tallinn,+02:00
478,Europe/Tirane,+01:00
479,Europe/Tiraspol,+02:00
480,Europe/Ulyanovsk,+04:00
481,Europe/Uzhgorod,+02:00
482,Europe/Vaduz,+01:00
483,Europe/Vatican,+01:00
484,Europe/Vienna,+01:00
485,Europe/Vilnius,+02:00
486,Europe/Volgograd,+03:00
487,Europe/Warsaw,+01:00
488,Europe/Zagreb,+01:00
489,Europe/Zaporozhye,+02:00
490,Europe/Zurich,+01:00
491,Europe/London,+00:00
492,Europe/London,+00:00
493,Etc/GMT,+00:00
494,Etc/GMT,+00:00
495,Etc/GMT,+00:00
496,Etc/GMT,+00:00
497,Etc/GMT,+00:00
498,Asia/Hong_Kong,+08:00
499,Pacific/Honolulu.,−10:00
500,Africa/Abidjan,+00:00
501,Indian/Antananarivo,+03:00
502,Indian/Chagos,+06:00
503,Indian/Christmas,+07:00
504,Indian/Cocos,+06:30
505,Indian/Comoro,+03:00
506,Indian/Kerguelen,+05:00
507,Indian/Mahe,+04:00
508,Indian/Maldives,+05:00
509,Indian/Mauritius,+04:00
510,Indian/Mayotte,+03:00
511,Indian/Reunion,+04:00
512,Asia/Tehran,+03:30
513,Asia/Jerusalem,+02:00
514,America/Jamaica,−05:00
515,Asia/Tokyo,+09:00
516,Pacific/Kwajalein,+12:00
517,Africa/Tripoli,+02:00
518,Europe/Paris.,+01:00
519,Mexico/BajaNorte,−08:00
520,Mexico/BajaSur,−07:00
521,Mexico/General,−06:00
522,America/Phoenix.,−07:00
523,America/Denver.,−07:00
524,America/Denver,−07:00
525,Pacific/Auckland,+12:00
526,Pacific/Chatham,+12:45
527,Pacific/Apia,+13:00
528,Pacific/Auckland,+12:00
529,Pacific/Bougainville,+11:00
530,Pacific/Chatham,+12:45
531,Pacific/Chuuk,+10:00
532,Pacific/Easter,−06:00
533,Pacific/Efate,+11:00
534,Pacific/Enderbury,+13:00
535,Pacific/Fakaofo,+13:00
536,Pacific/Fiji,+12:00
537,Pacific/Funafuti,+12:00
538,Pacific/Galapagos,−06:00
539,Pacific/Gambier,−09:00
540,Pacific/Guadalcanal,+11:00
541,Pacific/Guam,+10:00
542,Pacific/Honolulu,−10:00
543,Pacific/Johnston,−10:00
544,Pacific/Kanton,+13:00
545,Pacific/Kiritimati,+14:00
546,Pacific/Kosrae,+11:00
547,Pacific/Kwajalein,+12:00
548,Pacific/Majuro,+12:00
549,Pacific/Marquesas,−09:30
550,Pacific/Midway,−11:00
551,Pacific/Nauru,+12:00
552,Pacific/Niue,−11:00
553,Pacific/Norfolk,+11:00
554,Pacific/Noumea,+11:00
555,Pacific/Pago_Pago,−11:00
556,Pacific/Palau,+09:00
557,Pacific/Pitcairn,−08:00
558,Pacific/Pohnpei,+11:00
559,Pacific/Ponape,+11:00
560,Pacific/Port_Moresby,+10:00
561,Pacific/Rarotonga,−10:00
562,Pacific/Saipan,+10:00
563,Pacific/Samoa,−11:00
564,Pacific/Tahiti,−10:00
565,Pacific/Tarawa,+12:00
566,Pacific/Tongatapu,+13:00
567,Pacific/Truk,+10:00
568,Pacific/Wake,+12:00
569,Pacific/Wallis,+12:00
570,Pacific/Yap,+10:00
571,Europe/Warsaw,+01:00
572,Europe/Lisbon,+00:00
573,Asia/Shanghai,+08:00
574,America/Los_Angeles.,−08:00
575,Asia/Taipei,+08:00
576,Asia/Seoul,+09:00
577,Asia/Singapore,+08:00
578,Europe/Istanbul,+03:00
579,Etc/UTC,+00:00
580,Etc/UTC,+00:00
581,US/Alaska,−09:00
582,US/Aleutian,−10:00
583,US/Arizona,−07:00
584,US/Central,−06:00
585,US/East-Indiana,−05:00
586,US/Eastern,−05:00
587,US/Hawaii,−10:00
588,US/Indiana-Starke,−06:00
589,US/Michigan,−05:00
590,US/Mountain,−07:00
591,US/Pacific,−08:00
592,US/Samoa,−11:00
593,Etc/UTC,+00:00
594,Europe/Moscow,+03:00
595,Europe/Lisbon.,+00:00
596,Etc/UTC,+00:00
